Measure Names,reg_area_cod,species,year,Measure Values
landings,7BCEFGHJK,ARU,2012,0.12
discards,7BCEFGHJK,ARU,2013,1.55
landings,7BCEFGHJK,ARU,2013,0.8
discards,7BCEFGHJK,ARU,2014,16.13
landings,7BCEFGHJK,ARU,2014,0
discards,7BCEFGHJK,ARU,2015,1.28
landings,7BCEFGHJK,ARU,2015,0
discards,7BCEFGHJK,ARX,2003,
landings,7BCEFGHJK,ARX,2003,18.774
discards,7BCEFGHJK,ARX,2004,
landings,7BCEFGHJK,ARX,2004,18.749
discards,7BCEFGHJK,ARX,2005,
landings,7BCEFGHJK,ARX,2005,0.952
discards,7BCEFGHJK,ARX,2006,
landings,7BCEFGHJK,ARX,2006,7.302
discards,7BCEFGHJK,ARX,2007,
landings,7BCEFGHJK,ARX,2007,13.567
discards,7BCEFGHJK,ARX,2008,
landings,7BCEFGHJK,ARX,2008,51.736
discards,7BCEFGHJK,ARX,2009,
landings,7BCEFGHJK,ARX,2009,42.886
discards,7BCEFGHJK,ARY,2003,0.978
landings,7BCEFGHJK,ARY,2003,0
discards,7BCEFGHJK,ARY,2004,1.567
landings,7BCEFGHJK,ARY,2004,0
discards,7BCEFGHJK,ARY,2005,2.577
landings,7BCEFGHJK,ARY,2005,0
discards,7BCEFGHJK,ARY,2006,1.64
landings,7BCEFGHJK,ARY,2006,0
discards,7BCEFGHJK,ARY,2009,0.126
landings,7BCEFGHJK,ARY,2009,0
discards,7BCEFGHJK,ARY,2012,0.26
landings,7BCEFGHJK,ARY,2012,0
discards,7BCEFGHJK,ARY,2013,0.003
landings,7BCEFGHJK,ARY,2013,0
discards,7BCEFGHJK,ARY,2014,0.874
landings,7BCEFGHJK,ARY,2014,0
discards,7BCEFGHJK,ARY,2015,0.735
landings,7BCEFGHJK,ARY,2015,0
discards,7BCEFGHJK,ASD,2015,14.436
landings,7BCEFGHJK,ASD,2015,0
discards,7BCEFGHJK,BAR,2014,
landings,7BCEFGHJK,BAR,2014,0.09891
discards,7BCEFGHJK,BAR,2015,
landings,7BCEFGHJK,BAR,2015,0.065
discards,7BCEFGHJK,BET,2010,
landings,7BCEFGHJK,BET,2010,0.09
discards,7BCEFGHJK,BET,2011,
landings,7BCEFGHJK,BET,2011,0.167
discards,7BCEFGHJK,BFT,2003,
landings,7BCEFGHJK,BFT,2003,1.942
discards,7BCEFGHJK,BFT,2004,
landings,7BCEFGHJK,BFT,2004,0.03
discards,7BCEFGHJK,BFT,2006,
landings,7BCEFGHJK,BFT,2006,0.003
discards,7BCEFGHJK,BFT,2007,
landings,7BCEFGHJK,BFT,2007,0.13
discards,7BCEFGHJK,BFT,2008,
landings,7BCEFGHJK,BFT,2008,0.07
discards,7BCEFGHJK,BFT,2010,
landings,7BCEFGHJK,BFT,2010,0.004
discards,7BCEFGHJK,BFT,2011,
landings,7BCEFGHJK,BFT,2011,0.0448
discards,7BCEFGHJK,BFT,2012,
landings,7BCEFGHJK,BFT,2012,0.42
discards,7BCEFGHJK,BFT,2013,
landings,7BCEFGHJK,BFT,2013,9.06
discards,7BCEFGHJK,BIB,2003,4580.991
landings,7BCEFGHJK,BIB,2003,2610.473
discards,7BCEFGHJK,BIB,2004,34707.956
landings,7BCEFGHJK,BIB,2004,1971.383
discards,7BCEFGHJK,BIB,2005,4736.149
landings,7BCEFGHJK,BIB,2005,2958.391
discards,7BCEFGHJK,BIB,2006,2964.969
landings,7BCEFGHJK,BIB,2006,2949.799
discards,7BCEFGHJK,BIB,2007,9586.014
landings,7BCEFGHJK,BIB,2007,1826.128
discards,7BCEFGHJK,BIB,2008,78543.008
landings,7BCEFGHJK,BIB,2008,1695.277
discards,7BCEFGHJK,BIB,2009,584.133
landings,7BCEFGHJK,BIB,2009,1689.516
discards,7BCEFGHJK,BIB,2010,260.86
landings,7BCEFGHJK,BIB,2010,0
discards,7BCEFGHJK,BIB,2011,753.459
landings,7BCEFGHJK,BIB,2011,783.398
discards,7BCEFGHJK,BIB,2012,1452.168
landings,7BCEFGHJK,BIB,2012,870.975
discards,7BCEFGHJK,BIB,2013,784.189
landings,7BCEFGHJK,BIB,2013,777.632
discards,7BCEFGHJK,BIB,2014,9354.933474
landings,7BCEFGHJK,BIB,2014,2842.61601
discards,7BCEFGHJK,BIB,2015,7093.774012
landings,7BCEFGHJK,BIB,2015,2396.90337
discards,7BCEFGHJK,BIL,2014,
landings,7BCEFGHJK,BIL,2014,0.006
discards,7BCEFGHJK,BLE,2006,0.034
landings,7BCEFGHJK,BLE,2006,0
discards,7BCEFGHJK,BLE,2007,0.028
landings,7BCEFGHJK,BLE,2007,0
discards,7BCEFGHJK,BLI,2003,0
landings,7BCEFGHJK,BLI,2003,23.6812
discards,7BCEFGHJK,BLI,2004,0
