"Param","starting_value","Lower","MLE","Upper","final_gradient"
"beta1_ct",-5.9113878108875,-50,-3.32520177282381,50,-4.05073234204245e-05
"beta1_ct",-5.86666963293679,-50,-1.95457685723178,50,-2.78740852702741e-05
"beta1_ct",-5.61336326753519,-50,-1.00902765439943,50,-8.16835434105379e-05
"beta1_ct",-5.61305695001845,-50,-2.36492848701736,50,0.000102530470758699
"beta1_ct",-5.53358237501262,-50,0.56352977719456,50,5.0538758481572e-05
"beta1_ct",-5.66684003521999,-50,0.155384103867822,50,0.000153327683777849
"beta1_ct",-5.18983391694136,-50,-2.76604517224969,50,0.000102826495650854
"beta1_ct",-6.01729373496978,-50,-5.12799526028692,50,-3.41065551811015e-05
"beta1_ct",-5.17941722876662,-50,-2.35540110740769,50,0.000134286641473302
"beta1_ct",-6.51772585551713,-50,-7.04634900407347,50,-4.64121465577616e-05
"beta1_ct",-6.42357059812572,-50,-1.90589550744995,50,-0.000294195668252728
"beta1_ct",-7.66354213902826,-50,-5.0128338599459,50,-0.000110483210425283
"beta1_ct",-5.56112745711694,-50,1.03288149645907,50,0.000367131842026414
"beta1_ct",-6.31878481681465,-50,-3.35117664043158,50,4.9379625461532e-05
"beta1_ct",-6.9124486131183,-50,-3.16984512503364,50,-7.7141637208733e-05
"beta1_ct",-6.65564828405089,-50,-3.85235755270166,50,4.96398696686606e-05
"beta1_ct",-5.61704636181793,-50,-0.239933767155703,50,-0.000207688111272031
"beta1_ct",-5.72742586897612,-50,-2.43067642047754,50,0.000137195130350598
"beta1_ct",-5.9113878108875,-50,-1.49900897675657,50,1.6250943729812e-05
"beta1_ct",-5.86666963293679,-50,-1.43171329187894,50,0.000119639993336141
"beta1_ct",-5.61336326753519,-50,-0.359462039701598,50,0.000219861828856471
"beta1_ct",-5.61305695001845,-50,-0.818601973574127,50,-0.00016608338251628
"beta1_ct",-5.53358237501262,-50,0.670181660293344,50,6.6655617720679e-05
"beta1_ct",-5.66684003521999,-50,-1.24044362563567,50,-0.000116272217915603
"beta1_ct",-5.18983391694136,-50,-2.66985401507293,50,-0.000340355874078657
"beta1_ct",-6.01729373496978,-50,-4.48681950472168,50,0.000209536863551296
"beta1_ct",-5.17941722876662,-50,-2.89109722637315,50,0.000140294018417642
"beta1_ct",-6.51772585551713,-50,-8.76336886503172,50,-8.63491598929178e-05
"beta1_ct",-6.42357059812572,-50,-1.64978354093696,50,0.000108494868289899
"beta1_ct",-7.66354213902826,-50,-5.12738595768199,50,4.19846583326056e-05
"beta1_ct",-5.56112745711694,-50,0.0910292892799696,50,-6.44588017846837e-05
"beta1_ct",-6.31878481681465,-50,-4.24499916797206,50,1.30077912963156e-05
"beta1_ct",-6.9124486131183,-50,-4.28177938855528,50,0.00012637268471366
"beta1_ct",-6.65564828405089,-50,-5.48595077562405,50,-2.31639457719535e-05
"beta1_ct",-5.61704636181793,-50,-1.47650601169273,50,-0.0001071977215652
"beta1_ct",-5.72742586897612,-50,-2.11566576988896,50,-2.84378469328495e-05
"beta1_ct",-5.9113878108875,-50,-1.92271880056311,50,8.74506809076525e-05
"beta1_ct",-5.86666963293679,-50,-3.59617483740138,50,4.99364909338773e-05
"beta1_ct",-5.61336326753519,-50,-1.17776362267809,50,-0.000192295536486586
"beta1_ct",-5.61305695001845,-50,-2.40240413149059,50,-9.5468370778784e-05
"beta1_ct",-5.53358237501262,-50,0.483835791497611,50,-5.02358455378715e-05
"beta1_ct",-5.66684003521999,-50,-0.764526599816323,50,-9.86518727192128e-05
"beta1_ct",-5.18983391694136,-50,-2.65729598906156,50,-5.74292724542236e-05
"beta1_ct",-6.01729373496978,-50,-5.28188767758292,50,-0.000137483540683658
"beta1_ct",-5.17941722876662,-50,-3.3232303586606,50,6.24433372276023e-06
"beta1_ct",-6.51772585551713,-50,-10.1351280332316,50,6.16817592984792e-05
"beta1_ct",-6.42357059812572,-50,-1.96933366012697,50,0.000124800758749988
"beta1_ct",-7.66354213902826,-50,-7.11165326104779,50,1.03166272349409e-05
"beta1_ct",-5.56112745711694,-50,-1.22806469850022,50,8.767459332433e-05
"beta1_ct",-6.31878481681465,-50,-5.68639614918462,50,-6.57469205047195e-05
